"name","population"
"가평군",937
"강남구",899
"강동구",1396
"강릉시",2271
"강북구",1420
"강서구",3130
"강진군",211
"강화군",1226
"거제시",3060
"거창군",842
"경산시",853
"경주시",1611
"계룡시",342
"계양구",2528
"고령군",339
"고성군",650
"고양시",5329
"고창군",350
"고흥군",341
"곡성군",232
"공주시",2147
"과천시",343
"관악구",3127
"광명시",1280
"광산구",2274
"광양시",1059
"광주시",3377
"광진구",1150
"괴산군",223
"구례군",330
"구로구",824
"구리시",722
"구미시",757
"군산시",2683
"군위군",141
"군포시",1921
"금산군",131
"금정구",1697
"금천구",701
"기장군",1759
"김제시",690
"김천시",623
"김포시",1752
"김해시",3959
"나주시",881
"남구",8427
"남동구",3185
"남양주시",5140
"남원시",1230
"남해군",368
"노원구",1169
"논산시",1492
"단양군",247
"달서구",2479
"달성군",2174
"담양군",382
"당진시",1784
"대덕구",2050
"도봉구",1126
"동구",8611
"동대문구",1265
"동두천시",1150
"동래구",1564
"동작구",1162
"동해시",1098
"마포구",2106
"목포시",3019
"무안군",789
"무주군",71
"문경시",1066
"미추홀구",3003
"밀양시",3585
"보령시",802
"보성군",278
"보은군",171
"봉화군",77
"부산진구",2637
"부안군",405
"부여군",690
"부천시",4103
"부평구",3798
"북구",8120
"사상구",1928
"사천시",1636
"사하구",2393
"산청군",562
"삼척시",621
"상주시",989
"서구",14760
"서대문구",962
"서산시",1723
"서천군",282
"서초구",661
"성남시",5323
"성동구",851
"성북구",1351
"성주군",732
"세종특별자치시",1312
"속초시",1739
"송파구",1195
"수성구",2354
"수영구",1226
"수원시",6122
"순창군",116
"순천시",3478
"시흥시",3187
"신안군",112
"아산시",3198
"안동시",744
"안산시",5204
"안성시",2144
"안양시",1696
"양구군",179
"양산시",1538
"양양군",215
"양주시",1781
"양천구",1526
"양평군",1573
"여수시",1434
"여주시",1501
"연수구",1508
"연제구",1943
"연천군",1026
"영광군",331
"영덕군",350
"영도구",1155
"영동군",670
"영등포구",902
"영암군",341
"영양군",108
"영월군",271
"영주시",1082
"영천시",666
"예산군",602
"예천군",392
"오산시",1274
"옥천군",730
"옹진군",131
"완도군",167
"완주군",560
"용산구",1489
"용인시",3883
"울릉군",83
"울주군",2260
"울진군",993
"원주시",3828
"유성구",3879
"은평구",1542
"음성군",888
"의령군",195
"의성군",182
"의왕시",696
"의정부시",1817
"이천시",2187
"익산시",2415
"인제군",235
"임실군",103
"장성군",325
"장수군",195
"장흥군",60
"전주시",6430
"정선군",889
"정읍시",1188
"제주시",15196
"제천시",1071
"종로구",886
"중구",8839
"중랑구",1478
"증평군",296
"진도군",77
"진안군",198
"진주시",847
"진천군",674
"창녕군",1299
"창원시",7335
"천안시",5570
"철원군",728
"청도군",504
"청송군",175
"청양군",149
"청주시",6478
"춘천시",2187
"충주시",1758
"칠곡군",900
"태백시",290
"태안군",641
"통영시",1562
"파주시",2552
"평창군",359
"평택시",7866
"포천시",1991
"포항시",4457
"하남시",1938
"하동군",413
"함안군",1328
"함양군",420
"함평군",199
"합천군",368
"해남군",231
"해운대구",2240
"홍성군",1120
"홍천군",904
"화성시",4586
"화순군",935
"화천군",192
"횡성군",490
