"name","population"
"가평군",981
"강남구",9374
"강동구",5857
"강릉시",1749
"강북구",4327
"강서구",8876
"강진군",192
"강화군",762
"거제시",2280
"거창군",286
"경산시",2236
"경주시",1900
"계룡시",762
"계양구",3711
"고령군",147
"고성군",748
"고양시",14370
"고창군",322
"고흥군",184
"곡성군",110
"공주시",1240
"과천시",894
"관악구",8364
"광명시",7962
"광산구",3614
"광양시",772
"광주시",5646
"광진구",5831
"괴산군",167
"구례군",393
"구로구",4651
"구리시",3440
"구미시",5072
"군산시",2951
"군위군",61
"군포시",3254
"금산군",535
"금정구",2148
"금천구",3238
"기장군",1520
"김제시",633
"김천시",967
"김포시",4369
"김해시",4318
"나주시",425
"남구",11670
"남동구",5260
"남양주시",8701
"남원시",687
"남해군",96
"노원구",5830
"논산시",1662
"단양군",162
"달서구",6721
"달성군",2787
"담양군",312
"당진시",1694
"대덕구",3588
"도봉구",5006
"동구",11956
"동대문구",4248
"동두천시",1227
"동래구",2747
"동작구",4808
"동해시",1365
"마포구",7198
"목포시",1072
"무안군",307
"무주군",72
"문경시",457
"미추홀구",4492
"밀양시",639
"보령시",919
"보성군",190
"보은군",372
"봉화군",84
"부산진구",3121
"부안군",238
"부여군",872
"부천시",15263
"부평구",6327
"북구",12782
"사상구",1288
"사천시",455
"사하구",2464
"산청군",65
"삼척시",1180
"상주시",521
"서구",20951
"서귀포시",3247
"서대문구",5235
"서산시",1309
"서천군",221
"서초구",6310
"성남시",13366
"성동구",4068
"성북구",5161
"성주군",190
"세종특별자치시",2703
"속초시",3811
"송파구",7460
"수성구",5573
"수영구",1944
"수원시",19559
"순창군",106
"순천시",2582
"시흥시",5165
"신안군",76
"아산시",4065
"안동시",1358
"안산시",8575
"안성시",2431
"안양시",10580
"양구군",288
"양산시",2898
"양양군",514
"양주시",3351
"양천구",5667
"양평군",1503
"여수시",1531
"여주군",10
"여주시",750
"연수구",2791
"연제구",1867
"연천군",235
"영광군",201
"영덕군",156
"영도구",1066
"영동군",432
"영등포구",4774
"영암군",141
"영양군",25
"영월군",332
"영주시",559
"영천시",636
"예산군",1168
"예천군",181
"오산시",3540
"옥천군",514
"옹진군",66
"완도군",105
"완주군",797
"용산구",4406
"용인시",17747
"울릉군",21
"울주군",2675
"울진군",257
"원주시",4323
"유성구",5958
"은평구",7030
"음성군",814
"의령군",90
"의성군",139
"의왕시",2281
"의정부시",5467
"이천시",2076
"익산시",2990
"인제군",579
"임실군",102
"장성군",222
"장수군",62
"장흥군",80
"전주시",6924
"정선군",711
"정읍시",858
"제주시",10913
"제천시",1524
"종로구",2112
"중구",12163
"중랑구",4784
"증평군",465
"진도군",293
"진안군",155
"진주시",2318
"진천군",809
"창녕군",245
"창원시",9601
"천안시",7864
"철원군",451
"청도군",243
"청송군",41
"청양군",189
"청원군",44
"청주시",10160
"춘천시",4648
"충주시",4890
"칠곡군",1554
"태백시",1055
"태안군",541
"통영시",1448
"파주시",6031
"평창군",262
"평택시",7051
"포천시",1271
"포항시",3315
"하남시",3101
"하동군",210
"함안군",345
"함양군",227
"함평군",449
"합천군",111
"해남군",178
"해운대구",5191
"홍성군",844
"홍천군",1738
"화성시",8672
"화순군",300
"화천군",194
"횡성군",322
